epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
1,577.9629940986633,6.572345213092114,6.563185919194419,715.0448107387848,708.5254073106712,9.468675778054061,9.48188984593831,0.691954688,6.398541824,6.174776832,6.398541824
2,578.4052603244781,6.500396274569754,6.508275019110526,665.4052639904919,670.668528814825,9.38945609481228,9.378089469134876,0.576349184,6.398541824,6.174776832,6.398541824
3,577.9250435829163,6.430817356011329,6.440849089253909,620.6810581337116,626.9389009625008,9.292181040180811,9.27770830838022,0.576349184,6.398541824,6.174776832,6.398541824
4,578.5727589130402,6.366284807426094,6.3821200933888385,581.8919673702055,591.1797362311502,9.207453009089885,9.184607520560377,0.576349184,6.398541824,6.174776832,6.398541824
5,578.5821316242218,6.27938988243043,6.301674621681356,533.4630893127887,545.4846260673373,9.091394725995528,9.059244643190713,0.576349184,6.398541824,6.174776832,6.398541824
