epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb,asgd_triggered
1,388.9128518104553,6.508865519270911,6.512987344155701,671.0646756395261,673.8363950657707,9.39625454278601,9.390308006465311,0.431330304,4.879286272,4.75539712,4.879286272,False
2,391.46279740333557,6.423654959005879,6.432876333040631,616.2513764877208,621.960342731784,9.280678784329698,9.26737515373958,0.351638528,4.879286272,4.75539712,4.879286272,False
3,389.81882071495056,6.345109869090723,6.361315037908676,569.6999786957117,579.0072724800312,9.177437658723235,9.154058542032805,0.351638528,4.879286272,4.75539712,4.879286272,False
4,389.29440784454346,6.256032463525866,6.277458342750577,521.1471625234442,532.4336786818317,9.056458020473308,9.025547010769133,0.351638528,4.879286272,4.75539712,4.879286272,False
5,386.2387092113495,6.158435256493457,6.182516452772752,472.68786060265796,484.2089133657897,8.919485826629675,8.884744004178861,0.351638528,4.879286272,4.75539712,4.879286272,False
6,386.45880222320557,6.065075458664218,6.094892812609381,430.5551655641029,443.586495749829,8.793071635501342,8.750054286832222,0.351638528,4.879286272,4.75539712,4.879286272,False
7,386.1550419330597,5.977962622579145,6.01493719544293,394.6355270389105,409.500119635363,8.677720063124085,8.624377030214516,0.351638528,4.879286272,4.75539712,4.879286272,False
8,385.8859944343567,5.904390704964828,5.945295636492885,366.64376349237375,381.9522636354896,8.57724853138708,8.518235189523649,0.351638528,4.879286272,4.75539712,4.879286272,False
9,386.7024121284485,5.834704661518052,5.884945133432709,341.96372408779047,359.58303836838996,8.49018115990701,8.417699480223812,0.351638528,4.879286272,4.75539712,4.879286272,False
10,386.8666214942932,5.775571635851279,5.831322166891902,322.32863666985537,340.80898767455216,8.412819572000831,8.332388557341599,0.351638528,4.880334848,4.75539712,4.880334848,False
11,386.3185954093933,5.722850731404002,5.781856748706641,305.775365104917,324.36088830333546,8.341456058489456,8.256328369944331,0.351638528,4.880334848,4.75539712,4.880334848,False
12,387.3514471054077,5.674735170927739,5.741235610557372,291.41115417983104,311.4490030056762,8.282852143926242,8.186912289455632,0.351638528,4.880334848,4.75539712,4.880334848,False
13,390.7176835536957,5.627606755322094,5.698251852667167,277.9960084022015,298.34539312343753,8.22083968957927,8.118920357976416,0.351638528,4.880334848,4.75539712,4.880334848,False
14,392.34612703323364,5.58575814495185,5.6611330083045726,266.6023293496266,287.4741687298228,8.167288516893827,8.05854557532717,0.351638528,4.880334848,4.75539712,4.880334848,False
15,391.97356843948364,5.546502651352206,5.627810974964321,256.3394778489042,278.0527864449764,8.11921498464151,8.001911869383315,0.351638528,4.880334848,4.75539712,4.880334848,False
16,390.6177101135254,5.507966273064403,5.5958942228906485,246.64899993115273,269.3183731003121,8.073168844703538,7.94631562753368,0.351638528,4.880334848,4.75539712,4.880334848,False
17,391.69345450401306,5.478358452773398,5.570348017578498,239.45331065494204,262.5254468143706,8.036313460986168,7.903600572028316,0.351638528,4.880334848,4.75539712,4.880334848,False
18,392.3549425601959,5.444406324846492,5.542267315039183,231.45982696671626,255.25608982571788,7.99580157068802,7.854618005440541,0.351638528,4.880334848,4.75539712,4.880334848,False
19,394.60677886009216,5.417027093092212,5.518472588091385,225.20860208965286,249.25403271054537,7.9614730361211254,7.815118123565292,0.351638528,4.880334848,4.75539712,4.880334848,False
20,393.7842104434967,5.387099624165099,5.492698136467516,218.5685344500058,242.91173246492514,7.924288362581737,7.7719419125577875,0.351638528,4.880334848,4.75539712,4.880334848,False
21,389.92881083488464,5.3637741916316095,5.475844979835843,213.52932815278183,238.85220698416572,7.899974397085897,7.738290426715132,0.351638528,4.880334848,4.75539712,4.880334848,False
