epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
26,786.6234159469604,5.389946429296855,5.501779765011917,219.1916429889902,245.12781417259055,7.93739038304594,7.776048984203749,0.803078144,3.424256,3.32726016,3.424256
27,794.9872663021088,5.368385343393854,5.484869204920289,214.51621789109956,241.01741804394777,7.912993601863094,7.744942912495308,0.803078144,3.424256,3.32726016,3.424256
28,803.4374904632568,5.362565506691205,5.483650025423866,213.2713943812431,240.72375360079675,7.9112346976496495,7.736546662945613,0.803078144,3.424256,3.32726016,3.424256
29,812.487865447998,5.340307224336795,5.463565705363783,208.57678030965894,235.93720883453338,7.882259148699342,7.704434749374199,0.803078144,3.424256,3.32726016,3.424256
30,820.8195374011993,5.30749857028002,5.438753462497348,201.84469605341533,230.1551075993519,7.8464626489626035,7.657101866868249,0.803078144,3.424256,3.32726016,3.424256
31,828.9847731590271,5.28927409270607,5.423089682587059,198.19949871521212,226.57809654152547,7.823864591364453,7.630809503449519,0.803078144,3.424256,3.32726016,3.424256
32,838.1388599872589,5.265822843836678,5.4005307873187105,193.60555039683913,221.52396711669638,7.7913189850328735,7.596976503002994,0.803078144,3.424256,3.32726016,3.424256
33,847.6909000873566,5.256018300802688,5.395397825942053,191.71661166868014,220.38980644112468,7.7839136871096954,7.582831537389674,0.803078144,3.424256,3.32726016,3.424256
34,855.5133492946625,5.239554095856698,5.382059223644773,188.5859923791843,217.4696332727925,7.764670151723019,7.559078710561915,0.803078144,3.424256,3.32726016,3.424256
35,864.325915813446,5.206438814555852,5.355735470099535,182.44318592505883,211.8197061389313,7.726693003025721,7.511303458451541,0.803078144,3.424256,3.32726016,3.424256
36,872.790863275528,5.1894694846401315,5.3415118451037,179.37336735882542,208.8281876255493,7.706172649780765,7.486821890334922,0.803078144,3.424256,3.32726016,3.424256
37,881.2399625778198,5.193965858840218,5.3494453771605155,180.18171309056106,210.49152208074503,7.717618317135867,7.493308787095368,0.803078144,3.424256,3.32726016,3.424256
38,890.4694638252258,5.152834363057421,5.316323027107688,172.92091704180328,203.63374795567373,7.669832866972064,7.433968582105182,0.803078144,3.424256,3.32726016,3.424256
39,897.6581807136536,5.141240673980837,5.304832516823612,170.9277023765464,201.30728400678652,7.653255564767943,7.417242424368786,0.803078144,3.424256,3.32726016,3.424256
40,906.8231015205383,5.131550648427766,5.3000291295901265,169.27940748004275,200.34264578895053,7.6463257418267245,7.403262672557283,0.803078144,3.424256,3.32726016,3.424256
41,915.5728478431702,5.112698821928367,5.286697542761153,166.11807354507548,197.68948512760366,7.627092327621384,7.376065235954901,0.803078144,3.424256,3.32726016,3.424256
42,925.6303374767303,5.098601096297849,5.2749570147403375,163.79261686155974,195.3820777826945,7.6101543260683355,7.3557265170999395,0.803078144,3.424256,3.32726016,3.424256
43,935.9186692237854,5.088907925197352,5.263399807392242,162.2126169769917,193.13700497294138,7.593480800340712,7.341742227222764,0.803078144,3.424256,3.32726016,3.424256
44,945.7472476959229,5.0666536689936255,5.249440858058241,158.6425675746077,190.4597446489905,7.57334229336053,7.309636122158976,0.803078144,3.424256,3.32726016,3.424256
45,953.3101015090942,5.05993166130217,5.246005947686225,157.57974716067054,189.80665479133626,7.568386765200923,7.299938314997695,0.803078144,3.424256,3.32726016,3.424256
46,962.0765025615692,5.043682183099368,5.235511501985803,155.03985037979183,187.82515471725966,7.553246480432047,7.2764952733774795,0.803078144,3.424256,3.32726016,3.424256
47,971.3550877571106,5.032392356335583,5.226102215699914,153.2993209526869,186.06614256706166,7.53967174976909,7.260207496292871,0.803078144,3.424256,3.32726016,3.424256
48,981.2287633419037,5.022254529735212,5.220587630177501,151.75305017463685,185.0428889140901,7.531715884583347,7.245581704131125,0.803078144,3.424256,3.32726016,3.424256
49,1143.909959077835,4.996733288471376,5.202414250354441,147.92912715155572,181.71040715686763,7.505497239636427,7.208762335922457,0.803078144,3.424256,3.32726016,3.424256
50,1175.2991244792938,4.985685575483678,5.193010113702934,146.30384297951917,180.0095875616183,7.491929938325455,7.19282385518194,0.803078144,3.424256,3.32726016,3.424256
51,1192.093184709549,4.975519729042105,5.187986215472965,144.82407486945996,179.10750559463332,7.4846819852631485,7.178157638934244,0.803078144,3.424256,3.32726016,3.424256
52,1194.8837041854858,4.964698066613136,5.180649609432526,143.26528716900975,177.798272921902,7.47409750011165,7.162545280213796,0.803078144,3.424256,3.32726016,3.424256
53,1225.9204630851746,4.948367794063766,5.163941421772621,140.94472525688897,174.85226576700697,7.449992680632463,7.138985676990455,0.803078144,3.424256,3.32726016,3.424256
54,1185.3153882026672,4.933561509238177,5.153363333376953,138.87323092130336,173.0124112712772,7.4347317249619485,7.117624723298588,0.803078144,3.424256,3.32726016,3.424256
55,1093.3366396427155,4.923320624250883,5.1490380618512095,137.45830355577183,172.26570164027606,7.42849167718126,7.102850249313105,0.803078144,3.424256,3.32726016,3.424256
56,1047.8859558105469,4.912304230165701,5.142685813505475,135.95231920268947,171.17489532623674,7.419327319994373,7.0869569521979345,0.803078144,3.424256,3.32726016,3.424256
57,1056.351729631424,4.9100978182427175,5.145332739027917,135.6526830665737,171.62858269893422,7.423146026319203,7.083773772658487,0.803078144,3.424256,3.32726016,3.424256
58,1067.5267329216003,4.887142100436337,5.123117719137607,132.57414852828185,167.85788841554526,7.391096527290203,7.050655672419176,0.803078144,3.424256,3.32726016,3.424256
59,1076.6995303630829,4.874149217365038,5.114667817574386,130.8627700637802,166.44548153528584,7.378905896208944,7.031910904445363,0.803078144,3.424256,3.32726016,3.424256
60,1084.0793180465698,4.870490142831577,5.117153969436989,130.3848084163863,166.85980510147016,7.382492655172019,7.0266319757616955,0.803078144,3.424256,3.32726016,3.424256
61,1091.1186738014221,4.858597071668078,5.108154192635578,128.8433173126081,165.36484135892556,7.369508721811514,7.009473900973176,0.68747264,3.424256,3.32726016,3.424256
62,1097.135957479477,4.84786148009211,5.100084632400708,127.46750636667548,164.03578945511697,7.357866807278513,6.9939857162455175,0.68747264,3.424256,3.32726016,3.424256
